"RQ","Topics","2015","2011","2010","2023","2022","2019","2017","2016","2008","2009","2007","2014","2012","2018","2013","2020","2006","2021","2024","2003","2005","1999","2000","2002","2004","1998","1996","2001","","2025"
"RQ1","ARTIFICIAL INTELLIGENCE","","SPS105","SPS106","SPS021 SPS044","","","SPS111","","","","","SPS110","","SPS049 SPS073","","SPS096","","SPS109","SPS068","","","","","","","","","","",""
"RQ1","CLOUD COMPUTING","SPS009 SPS012","SPS051 SPS065","SPS055 SPS058 SPS106","SPS021 SPS081 SPS112","","SPS011 SPS046 SPS053","SPS059","SPS015 SPS022","","SPS078 SPS091 SPS092","","SPS030 SPS048 SPS057 SPS062","SPS023","SPS054 SPS056 SPS097","SPS018 SPS047 SPS050 SPS063","SPS039","","SPS025","","","","","","","","","","","",""
"RQ1","CONTAINERIZATION","SPS108","","","SPS037 SPS038 SPS044 SPS081","SPS084 SPS085","SPS011 SPS053","SPS026","","","","","","","SPS019 SPS035","","","","SPS025 SPS034 SPS080","SPS004","","","","","","","","","","",""
"RQ1","GRID COMPUTING","SPS002 SPS009 SPS074","SPS003 SPS008 SPS028 SPS065","SPS055 SPS061 SPS107","SPS112","SPS029","SPS046 SPS053","","SPS015 SPS066","SPS006 SPS098","SPS017 SPS040 SPS060 SPS089 SPS091 SPS092 SPS114","SPS069","SPS048 SPS057 SPS062","SPS005 SPS087","SPS064","SPS018 SPS075","","","SPS090","","","SPS001","","","SPS014 SPS100","SPS052","","","","",""
"RQ1","HPC","SPS013 SPS074 SPS082","SPS065 SPS105","SPS077 SPS106","SPS037 SPS038 SPS112","SPS041 SPS042 SPS084 SPS085 SPS104","SPS046","SPS079 SPS094","SPS066","SPS006 SPS101 SPS103","SPS017","","","SPS024 SPS072 SPS093","SPS035 SPS073","SPS050 SPS075","SPS010","","SPS025 SPS034 SPS080","SPS068","","","","SPS071","","","","","","",""
"RQ1","JAVA","","","","","","","","","","","","","","","","","","","SPS043","","","","","","","","","","",""
"RQ1","VIRTUALIZATION","SPS108","SPS065","SPS088","SPS044 SPS081","SPS085","","","SPS022","","SPS017","","SPS062","","SPS097","","","","SPS034","","","","","","","","","","","",""
"RQ1","KUBERNETES","","","","SPS081","SPS027 SPS084","","","","","","","","","","","","","SPS034","SPS004","","","","","","","","","","",""
"RQ1","NETWORK","SPS002 SPS076","","","","","","","","","","","","","","SPS047","","","","","","","","","","SPS052","","","","",""
"RQ1","PARALLEL","SPS009","SPS007 SPS105","SPS061 SPS106","SPS038","SPS041","SPS046 SPS083","SPS026 SPS032","SPS066","SPS006 SPS103","SPS092","","SPS110","SPS072","SPS054","SPS075","SPS010 SPS096","","SPS025 SPS045","SPS043","","","","SPS071","","","","SPS070","","",""
"RQ1","DOCKER","","","","","SPS085","SPS053","SPS036","","","","","","","SPS019","","","","","SPS004","","","","","","","","","","",""
"RQ1","HTC","SPS076 SPS108","SPS028 SPS113","SPS058 SPS088","SPS044 SPS099","SPS027 SPS029","","SPS032 SPS111","","SPS031 SPS067 SPS103","SPS017 SPS020 SPS078 SPS089","SPS095","","SPS087","SPS049 SPS097","SPS018 SPS047 SPS050 SPS063","SPS039","SPS016","SPS045 SPS080 SPS090 SPS102 SPS109","","","","","","","SPS086","","SPS070","SPS033","",""
"RQ2","TEACHING","SPS074","","","","","","SPS032 SPS079","","","","","SPS057","SPS024","","","","","SPS109","","","","","","","","","","","",""
"RQ2","RESEARCH","","","SPS107","SPS037 SPS081 SPS099 SPS112","SPS084 SPS104","","SPS094 SPS111","","SPS101","SPS114","","SPS110","","SPS097","","SPS096","","SPS080 SPS090 SPS102","","","","","","SPS100","SPS052","","","","",""
"RQ2","EXTENSION","","","","","SPS085","","","","","","","","","","","","","SPS034","SPS068","","","","","","","","","","",""
