"",RQ,Topics,1993-2007,2008-2012,2013-2017,2018-2022,2023-2025
0,RQ1,ARTIFICIAL INTELLIGENCE,"",SPS106 SPS105,SPS110 SPS111,SPS049 SPS073 SPS096 SPS109,SPS021 SPS044 SPS068
1,RQ1,CLOUD COMPUTING,"",SPS078 SPS091 SPS092 SPS055 SPS058 SPS106 SPS051 SPS065 SPS023,SPS018 SPS047 SPS050 SPS063 SPS030 SPS048 SPS057 SPS062 SPS009 SPS012 SPS015 SPS022 SPS059,SPS054 SPS056 SPS097 SPS011 SPS046 SPS053 SPS039 SPS025,SPS021 SPS081 SPS112
2,RQ1,CONTAINERIZATION,"","",SPS108 SPS026,SPS019 SPS035 SPS011 SPS053 SPS025 SPS034 SPS080 SPS084 SPS085,SPS037 SPS038 SPS044 SPS081 SPS004
3,RQ1,GRID COMPUTING,SPS014 SPS100 SPS052 SPS001 SPS069 SPS006 SPS098,SPS006 SPS098 SPS017 SPS040 SPS060 SPS089 SPS091 SPS092 SPS114 SPS055 SPS061 SPS107 SPS003 SPS008 SPS028 SPS065 SPS005 SPS087,SPS018 SPS075 SPS048 SPS057 SPS062 SPS002 SPS009 SPS074 SPS015 SPS066,SPS064 SPS046 SPS053 SPS090 SPS029,SPS112
4,RQ1,HPC,SPS071 SPS006 SPS101 SPS103,SPS006 SPS101 SPS103 SPS017 SPS077 SPS106 SPS065 SPS105 SPS024 SPS072 SPS093,SPS050 SPS075 SPS013 SPS074 SPS082 SPS066 SPS079 SPS094,SPS035 SPS073 SPS046 SPS010 SPS025 SPS034 SPS080 SPS041 SPS042 SPS084 SPS085 SPS104,SPS037 SPS038 SPS112 SPS068
5,RQ1,JAVA,"","","","",SPS043
6,RQ1,VIRTUALIZATION,"",SPS017 SPS088 SPS065,SPS062 SPS108 SPS022,SPS097 SPS034 SPS085,SPS044 SPS081
7,RQ1,KUBERNETES,"","","",SPS034 SPS027 SPS084,SPS081 SPS004
8,RQ1,NETWORK,SPS052,"",SPS047 SPS002 SPS076,"",""
9,RQ1,PARALLEL,SPS070 SPS071 SPS006 SPS103,SPS006 SPS103 SPS092 SPS061 SPS106 SPS007 SPS105 SPS072,SPS075 SPS110 SPS009 SPS066 SPS026 SPS032,SPS054 SPS046 SPS083 SPS010 SPS096 SPS025 SPS045 SPS041,SPS038 SPS043
10,RQ1,DOCKER,"","",SPS036,SPS019 SPS053 SPS085,SPS004
11,RQ1,HTC,SPS070 SPS033 SPS086 SPS016 SPS095 SPS031 SPS067 SPS103,SPS031 SPS067 SPS103 SPS017 SPS020 SPS078 SPS089 SPS058 SPS088 SPS028 SPS113 SPS087,SPS018 SPS047 SPS050 SPS063 SPS076 SPS108 SPS032 SPS111,SPS049 SPS097 SPS039 SPS045 SPS080 SPS090 SPS102 SPS109 SPS027 SPS029,SPS044 SPS099
12,RQ2,TEACHING,"",SPS024,SPS057 SPS074 SPS032 SPS079,SPS109,""
13,RQ2,RESEARCH,SPS100 SPS052 SPS101,SPS101 SPS114 SPS107,SPS110 SPS094 SPS111,SPS097 SPS096 SPS080 SPS090 SPS102 SPS084 SPS104,SPS037 SPS081 SPS099 SPS112
14,RQ2,EXTENSION,"","","",SPS034 SPS085,SPS068
